五時, ごじ 5시
午前, ごぜん 오전
答える, こたえる 대답하다
ごちそうさまでした, 잘 먹었습니다
こちら, 이쪽
こちらこそ, 저야말로
今年, ことし 올해
子供, こども 아이. 어린이
五人, ごにん 5명
五年, ごねん 5년
この, 이
御飯, ごはん 밥
五分, ごふん 5분
困る, こまる 곤란하다. 난처하다
ごめんなさい, 미안합니다
これ, 이것
今月, こんげつ 이번 달
今週, こんしゅう 이번 주
こんな, 이런
こんにちは, 안녕하십니까
今晩, こんばん 오늘 밤
こんばんは, 안녕하십니까
財布, さいふ 지갑
魚, さかな 물고기. 생선
先, さき 앞부분. 끝부분
咲く, さく 피다
作文, さくぶん 작문
雑誌, ざっし 잡지
寒い, さむい 춥다
さようなら, 안녕히 가십시오
三, さん 3
三月, さんがつ 3월
三時, さんじ 3시
三十一日, さんじゅういちにち 31일
三十日, さんじゅうにち 30일
三人, さんにん 3명
三年, さんねん 3년
三分, さんぷん 3분
散歩, さんぽ 산책
四, し 4
塩, しお 소금
四月, しがつ 4월
時間, じかん 시간
仕事, しごと 일. 직업. 업무
辞書, じしょ 사전
静かな, しずかな 조용한
下, した 아래. 밑
七, しち 7
七月, しちがつ 7월
七時, しちじ 7시
七人, しちにん 7명
七年, しちねん 7년
七分, しちふん 7분
死ぬ, しぬ 죽다
閉まる, しまる 닫히다
閉める, しめる 닫다
写真, しゃしん 사진
十, じゅう 10
十一月, じゅういちがつ 11월
十一時, じゅういちじ 11시
十一日, じゅういちにち 11일
十月, じゅうがつ 10월
十九日, じゅうくにち 19일
十五日, じゅうごにち 15일
十三日, じゅうさんにち 13일
十時, じゅうじ 10시
十七日, じゅうしちにち 17일
十二月, じゅうにがつ 12월
十二時, じゅうにじ 12시
十二日, じゅうににち 12일
十人, じゅうにん 10명
十年, じゅうねん 10년
十八日, じゅうはちにち 18일
十四日, じゅうよっか 14일
十六日, じゅうろくにち 16일
宿題, しゅくだい 숙제
十分, じゅっぷん 10분
上手な, じょうずな 하는 일이 능숙한. 잘한
丈夫な, じょうぶな 튼튼한
食堂, しょくどう 식당
白い, しろい 희다. 하얗다
新聞, しんぶん 신문
水曜日, すいようび 수요일
吸う, すう (담배를) 피우다. 들이마시다. 빨아들이다
好き, すきな 좋아하는
すぐ, 곧. 즉시
少ない, すくない 적다
少し, すこし 조금. 약간. 좀
おすし, 생선초밥
ずつ, …씩
すみません, 죄송합니다. 고맙습니다. 부탁합니다
住む, すむ 살다. 거처하다
する, 하다
座る, すわる 앉다
背, せ 키
生徒, せいと (초중고)학생. →がくせい
石鹸, せっけん 비누
